series,update,policy_kl,positions
Rank 64 validation,0,2.869577646255493,102339.0
Rank 64 validation,128,0.9172623157501221,102339.0
Rank 64 validation,256,0.714806079864502,102339.0
Rank 64 validation,384,0.5961617231369019,102339.0
Rank 64 validation,512,0.5134099721908569,102339.0
Rank 64 validation,640,0.49164915084838867,102339.0
Rank 64 validation,768,0.431888222694397,102339.0
Rank 64 validation,896,0.40560901165008545,102339.0
Rank 64 validation,1024,0.3970104455947876,102339.0
Additive validation,0,2.869577646255493,102339.0
Additive validation,128,0.8879537582397461,102339.0
Additive validation,256,0.6843441724777222,102339.0
Additive validation,384,0.6100856065750122,102339.0
Additive validation,512,0.5378090143203735,102339.0
Additive validation,640,0.4996863603591919,102339.0
Additive validation,768,0.45454132556915283,102339.0
Additive validation,896,0.42795073986053467,102339.0
Additive validation,1024,0.41474592685699463,102339.0
Additive fixed training probe,0,2.868964672088623,90339.0
Additive fixed training probe,128,0.8791484236717224,90339.0
Additive fixed training probe,256,0.6698514819145203,90339.0
Additive fixed training probe,384,0.5887808203697205,90339.0
Additive fixed training probe,512,0.5083848834037781,90339.0
Additive fixed training probe,640,0.46328645944595337,90339.0
Additive fixed training probe,768,0.4112486243247986,90339.0
Additive fixed training probe,896,0.3740273118019104,90339.0
Additive fixed training probe,1024,0.35307103395462036,90339.0
