series,update,policy_kl,positions
Rank 64 validation,0,2.869577646255493,102339.0
Rank 64 validation,128,0.9172623157501221,102339.0
Rank 64 validation,256,0.714806079864502,102339.0
Rank 64 validation,384,0.5961617231369019,102339.0
Rank 64 validation,512,0.5134099721908569,102339.0
Rank 64 validation,640,0.49164915084838867,102339.0
Rank 64 validation,768,0.431888222694397,102339.0
Rank 64 validation,896,0.40560901165008545,102339.0
Rank 64 validation,1024,0.3970104455947876,102339.0
Rank 128 validation,0,2.869577646255493,102339.0
Rank 128 validation,128,0.9529721736907959,102339.0
Rank 128 validation,256,0.724125862121582,102339.0
Rank 128 validation,384,0.6041065454483032,102339.0
Rank 128 validation,512,0.5308969020843506,102339.0
Rank 128 validation,640,0.5050376653671265,102339.0
Rank 128 validation,768,0.45129430294036865,102339.0
Rank 128 validation,896,0.42044270038604736,102339.0
Rank 128 validation,1024,0.40705645084381104,102339.0
Rank 128 fixed training probe,0,2.868964672088623,90339.0
Rank 128 fixed training probe,128,0.9464936852455139,90339.0
Rank 128 fixed training probe,256,0.7098050713539124,90339.0
Rank 128 fixed training probe,384,0.5847439169883728,90339.0
Rank 128 fixed training probe,512,0.5024862885475159,90339.0
Rank 128 fixed training probe,640,0.4687829613685608,90339.0
Rank 128 fixed training probe,768,0.4074328541755676,90339.0
Rank 128 fixed training probe,896,0.36626631021499634,90339.0
Rank 128 fixed training probe,1024,0.34589964151382446,90339.0
