series,update,policy_kl,positions
Rank 64 validation,0,2.869577646255493,102339.0
Rank 64 validation,128,0.9172623157501221,102339.0
Rank 64 validation,256,0.714806079864502,102339.0
Rank 64 validation,384,0.5961617231369019,102339.0
Rank 64 validation,512,0.5134099721908569,102339.0
Rank 64 validation,640,0.49164915084838867,102339.0
Rank 64 validation,768,0.431888222694397,102339.0
Rank 64 validation,896,0.40560901165008545,102339.0
Rank 64 validation,1024,0.3970104455947876,102339.0
Refinement validation,0,2.869577646255493,102339.0
Refinement validation,128,0.9623591899871826,102339.0
Refinement validation,256,0.7251873016357422,102339.0
Refinement validation,384,0.5975096225738525,102339.0
Refinement validation,512,0.5314569473266602,102339.0
Refinement validation,640,0.4958847761154175,102339.0
Refinement validation,768,0.45060408115386963,102339.0
Refinement validation,896,0.41416430473327637,102339.0
Refinement validation,1024,0.40341508388519287,102339.0
Refinement fixed training probe,0,2.868964672088623,90339.0
Refinement fixed training probe,128,0.9597187638282776,90339.0
Refinement fixed training probe,256,0.7115513682365417,90339.0
Refinement fixed training probe,384,0.5796732306480408,90339.0
Refinement fixed training probe,512,0.5035490393638611,90339.0
Refinement fixed training probe,640,0.45985573530197144,90339.0
Refinement fixed training probe,768,0.40489131212234497,90339.0
Refinement fixed training probe,896,0.36132580041885376,90339.0
Refinement fixed training probe,1024,0.3419411778450012,90339.0
