series,update,position_policy_kl,family_policy_kl,positions,opening_families
CNN validation,0,2.0178277492523193,1.4997551441192627,1387635.0,2811.0000240802765
CNN validation,256,0.4617292881011963,0.3312351703643799,1387635.0,2811.0000240802765
CNN validation,512,0.32443809509277344,0.22706007957458496,1387635.0,2811.0000240802765
CNN validation,768,0.26962780952453613,0.1896669864654541,1387635.0,2811.0000240802765
CNN validation,1024,0.2584429979324341,0.17949318885803223,1387635.0,2811.0000240802765
CNN validation,1280,0.21756815910339355,0.15303635597229004,1387635.0,2811.0000240802765
CNN validation,1536,0.20752954483032227,0.14226031303405762,1387635.0,2811.0000240802765
CNN validation,1792,0.1941002607345581,0.13611626625061035,1387635.0,2811.0000240802765
CNN validation,2048,0.17938601970672607,0.12443709373474121,1387635.0,2811.0000240802765
CNN validation,2304,0.17472636699676514,0.12048673629760742,1387635.0,2811.0000240802765
CNN validation,2560,0.16278648376464844,0.11301374435424805,1387635.0,2811.0000240802765
CNN validation,2816,0.1525801420211792,0.10569930076599121,1387635.0,2811.0000240802765
CNN validation,3072,0.14665043354034424,0.10270500183105469,1387635.0,2811.0000240802765
CNN validation,3328,0.14245402812957764,0.09919333457946777,1387635.0,2811.0000240802765
CNN validation,3584,0.1365269422531128,0.09416747093200684,1387635.0,2811.0000240802765
CNN validation,3840,0.1316847801208496,0.09112000465393066,1387635.0,2811.0000240802765
CNN validation,4096,0.12994647026062012,0.08986163139343262,1387635.0,2811.0000240802765
CNN training probe,0,1.864968180656433,1.7381222248077393,388049.0,2204.999973297119
CNN training probe,256,0.3985499143600464,0.3971421718597412,388049.0,2204.999973297119
CNN training probe,512,0.2548609972000122,0.2691669464111328,388049.0,2204.999973297119
CNN training probe,768,0.20438146591186523,0.2212209701538086,388049.0,2204.999973297119
CNN training probe,1024,0.19272196292877197,0.20952439308166504,388049.0,2204.999973297119
CNN training probe,1280,0.15763914585113525,0.17572593688964844,388049.0,2204.999973297119
CNN training probe,1536,0.14349055290222168,0.16202902793884277,388049.0,2204.999973297119
CNN training probe,1792,0.1370450258255005,0.15497899055480957,388049.0,2204.999973297119
CNN training probe,2048,0.1219257116317749,0.1391921043395996,388049.0,2204.999973297119
CNN training probe,2304,0.11514091491699219,0.13254153728485107,388049.0,2204.999973297119
CNN training probe,2560,0.10621166229248047,0.12321031093597412,388049.0,2204.999973297119
CNN training probe,2816,0.09738481044769287,0.11420297622680664,388049.0,2204.999973297119
CNN training probe,3072,0.09307599067687988,0.10952234268188477,388049.0,2204.999973297119
CNN training probe,3328,0.08791124820709229,0.10476350784301758,388049.0,2204.999973297119
CNN training probe,3584,0.08173954486846924,0.09777545928955078,388049.0,2204.999973297119
CNN training probe,3840,0.07836043834686279,0.09402883052825928,388049.0,2204.999973297119
CNN training probe,4096,0.07577860355377197,0.09130978584289551,388049.0,2204.999973297119
Transformer 1e-3 validation,0,2.161144971847534,1.628530502319336,1387635.0,2811.0000240802765
Transformer 1e-3 validation,256,0.49916625022888184,0.35453009605407715,1387635.0,2811.0000240802765
Transformer 1e-3 validation,512,0.366274356842041,0.2587106227874756,1387635.0,2811.0000240802765
Transformer 1e-3 validation,768,0.30177295207977295,0.21312570571899414,1387635.0,2811.0000240802765
Transformer 1e-3 validation,1024,0.2666078805923462,0.18985342979431152,1387635.0,2811.0000240802765
Transformer 1e-3 validation,1280,0.23174893856048584,0.16458845138549805,1387635.0,2811.0000240802765
Transformer 1e-3 validation,1536,0.2166353464126587,0.15411019325256348,1387635.0,2811.0000240802765
Transformer 1e-3 validation,1792,0.2030484676361084,0.14242124557495117,1387635.0,2811.0000240802765
Transformer 1e-3 validation,2048,0.18816351890563965,0.1318662166595459,1387635.0,2811.0000240802765
Transformer 1e-3 validation,2304,0.17425906658172607,0.12256169319152832,1387635.0,2811.0000240802765
Transformer 1e-3 validation,2560,0.1670464277267456,0.11620235443115234,1387635.0,2811.0000240802765
Transformer 1e-3 validation,2816,0.15609776973724365,0.10939431190490723,1387635.0,2811.0000240802765
Transformer 1e-3 validation,3072,0.14883363246917725,0.1054849624633789,1387635.0,2811.0000240802765
Transformer 1e-3 validation,3328,0.14549100399017334,0.1007988452911377,1387635.0,2811.0000240802765
Transformer 1e-3 validation,3584,0.14078092575073242,0.09785723686218262,1387635.0,2811.0000240802765
Transformer 1e-3 validation,3840,0.1347804069519043,0.09418916702270508,1387635.0,2811.0000240802765
Transformer 1e-3 validation,4096,0.13349390029907227,0.09345388412475586,1387635.0,2811.0000240802765
Transformer 1e-3 training probe,0,2.0042386054992676,1.8734791278839111,388049.0,2204.999973297119
Transformer 1e-3 training probe,256,0.416082501411438,0.42095494270324707,388049.0,2204.999973297119
Transformer 1e-3 training probe,512,0.2869361639022827,0.3037533760070801,388049.0,2204.999973297119
Transformer 1e-3 training probe,768,0.2288442850112915,0.24785614013671875,388049.0,2204.999973297119
Transformer 1e-3 training probe,1024,0.1979210376739502,0.21769928932189941,388049.0,2204.999973297119
Transformer 1e-3 training probe,1280,0.16881990432739258,0.1884305477142334,388049.0,2204.999973297119
Transformer 1e-3 training probe,1536,0.15403103828430176,0.1739804744720459,388049.0,2204.999973297119
Transformer 1e-3 training probe,1792,0.14099252223968506,0.16059231758117676,388049.0,2204.999973297119
Transformer 1e-3 training probe,2048,0.1269594430923462,0.1456601619720459,388049.0,2204.999973297119
Transformer 1e-3 training probe,2304,0.1166001558303833,0.13470935821533203,388049.0,2204.999973297119
Transformer 1e-3 training probe,2560,0.10858714580535889,0.1263408660888672,388049.0,2204.999973297119
Transformer 1e-3 training probe,2816,0.10097372531890869,0.1182783842086792,388049.0,2204.999973297119
Transformer 1e-3 training probe,3072,0.0950242280960083,0.11240041255950928,388049.0,2204.999973297119
Transformer 1e-3 training probe,3328,0.08963561058044434,0.10677528381347656,388049.0,2204.999973297119
Transformer 1e-3 training probe,3584,0.08558809757232666,0.10227429866790771,388049.0,2204.999973297119
Transformer 1e-3 training probe,3840,0.08141434192657471,0.0976799726486206,388049.0,2204.999973297119
Transformer 1e-3 training probe,4096,0.07980859279632568,0.0959857702255249,388049.0,2204.999973297119
Transformer 1.5e-3 validation,0,2.161144971847534,1.628530502319336,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,256,0.4834463596343994,0.3535451889038086,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,512,0.3410336971282959,0.24976372718811035,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,768,0.29156553745269775,0.2113351821899414,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,1024,0.27341902256011963,0.19154644012451172,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,1280,0.23582732677459717,0.16805672645568848,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,1536,0.23645520210266113,0.16844844818115234,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,1792,0.2071378231048584,0.14542818069458008,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,2048,0.19220304489135742,0.13470721244812012,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,2304,0.17800283432006836,0.12682414054870605,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,2560,0.17027533054351807,0.12054038047790527,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,2816,0.1577153205871582,0.11187410354614258,1387635.0,2811.0000240802765
Transformer 1.5e-3 validation,3072,0.15032899379730225,0.10664772987365723,1387635.0,2811.0000240802765
