series,update,position_policy_kl,family_policy_kl,positions,opening_families
CNN validation,0,2.0178277492523193,1.4997551441192627,1387635.0,2811.0000240802765
CNN validation,256,0.4617292881011963,0.3312351703643799,1387635.0,2811.0000240802765
CNN validation,512,0.32443809509277344,0.22706007957458496,1387635.0,2811.0000240802765
CNN validation,768,0.26962780952453613,0.1896669864654541,1387635.0,2811.0000240802765
CNN validation,1024,0.2584429979324341,0.17949318885803223,1387635.0,2811.0000240802765
CNN validation,1280,0.21756815910339355,0.15303635597229004,1387635.0,2811.0000240802765
CNN validation,1536,0.20752954483032227,0.14226031303405762,1387635.0,2811.0000240802765
CNN validation,1792,0.1941002607345581,0.13611626625061035,1387635.0,2811.0000240802765
CNN validation,2048,0.17938601970672607,0.12443709373474121,1387635.0,2811.0000240802765
CNN training probe,0,1.864968180656433,1.7381222248077393,388049.0,2204.999973297119
CNN training probe,256,0.3985499143600464,0.3971421718597412,388049.0,2204.999973297119
CNN training probe,512,0.2548609972000122,0.2691669464111328,388049.0,2204.999973297119
CNN training probe,768,0.20438146591186523,0.2212209701538086,388049.0,2204.999973297119
CNN training probe,1024,0.19272196292877197,0.20952439308166504,388049.0,2204.999973297119
CNN training probe,1280,0.15763914585113525,0.17572593688964844,388049.0,2204.999973297119
CNN training probe,1536,0.14349055290222168,0.16202902793884277,388049.0,2204.999973297119
CNN training probe,1792,0.1370450258255005,0.15497899055480957,388049.0,2204.999973297119
CNN training probe,2048,0.1219257116317749,0.1391921043395996,388049.0,2204.999973297119
