series,update,position_policy_kl,family_policy_kl,positions,opening_families
cnn validation,0,2.015233278274536,1.500084638595581,1387635.0,2811.0000240802765
cnn validation,256,0.4380214214324951,0.3142740726470947,1387635.0,2811.0000240802765
cnn validation,512,0.31920313835144043,0.2283027172088623,1387635.0,2811.0000240802765
cnn validation,768,0.2726224660873413,0.1903693675994873,1387635.0,2811.0000240802765
cnn validation,1024,0.24944186210632324,0.1789555549621582,1387635.0,2811.0000240802765
cnn validation,1280,0.22270357608795166,0.15564680099487305,1387635.0,2811.0000240802765
cnn validation,1536,0.20054888725280762,0.14116477966308594,1387635.0,2811.0000240802765
cnn validation,1792,0.1881955862045288,0.13419294357299805,1387635.0,2811.0000240802765
cnn validation,2048,0.177911639213562,0.12455916404724121,1387635.0,2811.0000240802765
cnn validation,2304,0.16973161697387695,0.11736440658569336,1387635.0,2811.0000240802765
cnn validation,2560,0.16317832469940186,0.11238360404968262,1387635.0,2811.0000240802765
cnn training probe,0,1.8633993864059448,1.7371878623962402,388049.0,2204.999973297119
cnn training probe,256,0.37510597705841064,0.3771018981933594,388049.0,2204.999973297119
cnn training probe,512,0.2565089464187622,0.2708401679992676,388049.0,2204.999973297119
cnn training probe,768,0.2070227861404419,0.22363758087158203,388049.0,2204.999973297119
cnn training probe,1024,0.18604493141174316,0.20440196990966797,388049.0,2204.999973297119
cnn training probe,1280,0.16151666641235352,0.1795196533203125,388049.0,2204.999973297119
cnn training probe,1536,0.14310550689697266,0.16070127487182617,388049.0,2204.999973297119
cnn training probe,1792,0.13245701789855957,0.1496264934539795,388049.0,2204.999973297119
cnn training probe,2048,0.12070286273956299,0.13806653022766113,388049.0,2204.999973297119
cnn training probe,2304,0.11218047142028809,0.12919771671295166,388049.0,2204.999973297119
cnn training probe,2560,0.10549521446228027,0.12209320068359375,388049.0,2204.999973297119
